id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
621960198566758900,Home in Albany · ★5.0 · 5 bedrooms · 1 bed · 3.5 baths,382970529,Thomas,,FOURTEENTH WARD,42.66762,-73.79919,Entire home/apt,1470,1,5,2022-08-28,0.34,5,336,0,
623102454293479631,Condo in Albany · ★4.55 · 1 bedroom · 2 beds · 1 bath,1176120,Julia,,THIRD WARD,42.65723,-73.75684,Entire home/apt,102,1,116,2023-09-18,6.88,3,83,79,
623454291327573992,Rental unit in Albany · ★4.74 · 3 bedrooms · 3 beds · 1 bath,249258548,Umer,,SEVENTH WARD,42.64372,-73.78426,Entire home/apt,137,2,23,2023-09-01,1.37,4,179,12,
625346918039601608,Rental unit in Albany · ★4.96 · 1 bedroom · 2 beds · 1 bath,12742779,Kathryn,,SIXTH WARD,42.65347,-73.7662,Entire home/apt,106,1,140,2023-09-28,8.73,1,309,103,
625350562676461315,Rental unit in Albany · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,249258548,Umer,,SEVENTH WARD,42.64318,-73.78386,Private room,53,4,10,2023-07-14,0.60,4,157,4,
625361790254590926,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,249258548,Umer,,SEVENTH WARD,42.64242,-73.78536,Private room,53,4,12,2023-08-02,0.74,4,157,7,
627627418709458036,Rental unit in Albany · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,249258548,Umer,,SEVENTH WARD,42.64198,-73.78413,Private room,53,4,6,2023-07-26,0.38,4,157,2,
628163387057233327,Rental unit in Albany · ★4.76 · 1 bedroom · 1 bed · 1 bath,47625981,Linda,,SECOND WARD,42.64528,-73.75861,Entire home/apt,121,1,34,2023-08-04,2.12,13,89,27,
628824127129967353,Rental unit in Albany · 2 bedrooms · 2 beds · 1 private bath,7164949,Jordan,,THIRD WARD,42.66169974831227,-73.76466827605744,Private room,68,2,0,,,1,88,0,
631035244220396236,Rental unit in Albany · ★4.62 · 1 bedroom · 1 bed · 1 bath,47625981,Linda,,SECOND WARD,42.64558,-73.75928,Entire home/apt,115,1,37,2023-08-27,2.27,13,81,28,
631778545710518995,Rental unit in Albany · ★4.38 · 3 bedrooms · 3 beds · 1 bath,272907816,Angela,,SECOND WARD,42.645252,-73.753433,Entire home/apt,150,2,8,2023-09-17,1.07,4,89,8,
